Datum;Dauer;Tätigkeit;Notizen
27.01.2026;1.0;Vorbesprechung;
27.01.2026;1.0;Paper lesen;
14.02.2026;2.0;Paper lesen & Thema definieren;
16.02.2026;1.0;Paper lesen & Thema definieren;
24.02.2026;5.0;AST Prototyp bauen; Klassen und Methoden werden erkannt
25.02.2026;3.0;AST Prototyp bauen; AST Generation text
26.02.2026;2.0;AST Prototyp bauen; AST Generation text
28.02.2026;4.0;Prototyp bauen; AST Generation grundsätzlich fertig
01.03.2026;2.0;Research; Strongest Postcondition
05.03.2026;3.0;Prototyp bauen; AST Generation text
06.03.2026;4.0;Prototyp bauen; AST Generalisierung
08.03.2026;4.0;Prototyp bauen; AST Serialisierung
09.03.2026;1.0;Besprechung; Zwischenstand
18.03.2026;2.0;Research; Strongest Postcondition - Semantic Correctness
18.03.2026;2.0;Test Generation; Grundstruktur 
15.03.2026;3.0;Research; Executing Methods from Code
18.03.2026;2.0;Research; Dynamic Execution
18.03.2026;5.0;Prototyp Bauen; Dynamic Execution
18.03.2026;2.0;Research; Symbolic Execution
19.03.2026;7.0;Prototyp Bauen; Dynamic Execution
20.03.2026;3.5;Prototyp Bauen; Dynamic Execution Array Handeling
24.03.2026;2.0;Research; Symbolic Execution
25.03.2026;2.0;Research; Testcase generation
25.03.2026;2.5;Prototyp Bauen; Dokumentieren
17.04.2026;3.5;Prototyp Bauen; Interfaces für Testcases/Tester implementieren
18.04.2026;2.0;Prototyp Bauen; MCDC umsetzung beginnen
23.04.2026;4.0;Prototyp Bauen; AST Evaluation modi implementieren
24.04.2026;5.0;Prototyp Bauen; AST Evaluation & Testsystem rework
25.04.2026;3.0;Prototyp Bauen; AST Test Generation (crude)
26.04.2026;3.0;Prototyp Bauen; AST Test Generation fixing Test Modi enable expost to file
27.04.2026;3.0;Prototyp Bauen; Handle Multiple submissions
28.04.2026;4.0;Prototyp Bauen; Handle Multiple submissions + Bug fixing
29.04.2026;3.0;Prototyp Bauen; MCDC Condition generation
30.04.2026;3.0;Prototyp Bauen; MCDC Condition generation
05.05.2026;3.0;Prototyp Bauen; MCDC Condition generation
06.05.2026;3.0;Prototyp Bauen; MCDC Condition generation
07.05.2026;3.0;Prototyp Bauen; MCDC Condition generation
08.05.2026;3.0;Prototyp Bauen; MCDC Condition generation
21.05.2026;5.0;Prototyp Bauen; Condition evaluation
22.05.2026;3.0;Prototyp Bauen; Condition evaluation
23.05.2026;2.5;Prototyp Bauen; Condition evaluation
24.05.2026;2.0;Prototyp Bauen; Condition evaluation
25.05.2026;4.0;Prototyp Bauen; Condition evaluation
26.05.2026;5.0;Prototyp Bauen; Condition evaluation
